de,de(5),,
a,a(4),,
o,o(3),,
e,e(3),,
que,que(4),,
do,do(4),,
da,da(3),,
em,em(3),,
para,pa-ra(6),,
no,no(3),,
com,com(5),,
é,é(2),,
um,um(4),,
na,na(2),,
não,não(4),,
uma,u-ma(4),,
dos,dos(2),,
as,as(2),,
por,por(4),,
se,se(3),,
ao,ao(2),a-o(1),
mais,mais(4),,
como,co-mo(6),,
são,são(4),,
foi,foi(2),,
das,das(2),,
à,à(2),,
mas,mas(4),,
ele,e-le(5),,
pelo,pe-lo(4),,
ser,ser(4),,
sua,su-a(4),sua(1),
pela,pe-la(5),,
segundo,se-gun-do(5),,
paulo,pau-lo(1),,
ou,ou(4),,
seu,seu(4),,
nos,nos(4),,
está,es-tá(3),,
tem,tem(2),,
disse,dis-se(1),,
entre,en-tre(6),,
já,já(4),,
até,a-té(5),,
ontem,on-tem(6),,
também,tam-bém(6),,
sobre,so-bre(5),,
folha,fo-lha(6),,
governo,go-ver-no(6),,
anos,a-nos(1),,
brasil,bra-sil(5),,
us,us(2),,
dia,di-a(5),dia(1),
há,há(3),,
vai,vai(2),,
ano,a-no(4),ano(1),
hoje,ho-je(6),,
diz,diz(2),,
presidente,pre-si-den-te(6),,
dois,dois(5),,
às,às(3),,
quando,quan-do(6),,
ainda,a-in-da(6),,
só,só(4),,
contra,con-tra(5),,
nas,nas(3),,
local,lo-cal(6),,
pode,po-de(2),pode(1),
rio,ri-o(5),,
mesmo,mes-mo(6),,
foram,fo-ram(1),,
sem,sem(4),,
aos,a-os(2),,
muito,mui-to(6),,
ter,ter(4),,
r,r(1),,
mil,mil(4),,
seus,seus(2),,
três,três(4),,
isso,is-so(6),,
país,pa-ís(6),,
depois,de-pois(6),,
reportagem,re-por-ta-gem(6),,
será,se-rá(2),,
estão,es-tão(2),,
eu,eu(4),,
era,e-ra(6),,
dias,di-as(2),,
deve,de-ve(6),,
apenas,a-pe-nas(5),,
pessoas,pes-so-as(1),,
maior,mai-or(6),,
milhões,mi-lhões(2),mi-lhõ-es(1),
estado,es-ta-do(6),,
onde,on-de(6),,
nova,no-va(6),,
grande,gran-de(6),,
quem,quem(3),,
primeiro,pri-mei-ro(6),,
ela,e-la(5),,
eua,eu-a(1),,
todos,to-dos(3),,
fazer,fa-zer(6),,
mercado,mer-ca-do(5),,
real,re-al(5),,
porque,por-que(6),,
tempo,tem-po(6),,
menos,me-nos(6),,
duas,du-as(5),,
eles,e-les(2),,
mês,mês(4),,
preços,pre-ços(1),,
outros,ou-tros(3),,
caso,ca-so(6),,
cidade,ci-da-de(6),,
suas,su-as(1),,
candidato,can-di-da-to(6),,
parte,par-te(6),,
mundo,mun-do(6),,
empresa,em-pre-sa(6),,
desde,des-de(6),,
agora,a-go-ra(6),,
quatro,qua-tro(6),,
fhc,fhc(1),,
semana,se-ma-na(6),,
casa,ca-sa(6),,
durante,du-ran-te(5),,
cada,ca-da(5),,
primeira,pri-mei-ra(6),,
final,fi-nal(5),,
grupo,gru-po(6),,
josé,jo-sé(1),,
empresas,em-pre-sas(1),,
antes,an-tes(5),,
novo,no-vo(6),,
plano,pla-no(6),,
nacional,na-ci-o-nal(5),,
vez,vez(4),,
cerca,cer-ca(5),,
este,es-te(5),,
além,a-lém(5),além(1),
carlos,car-los(1),,
fernando,fer-nan-do(1),,
bem,bem(4),,
equipe,e-qui-pe(5),,
lula,lu-la(6),,
esse,es-se(5),,
outro,ou-tro(6),,
você,vo-cê(6),,
jogo,jo-go(6),,
trabalho,tra-ba-lho(6),,
essa,es-sa(6),,
melhor,me-lhor(6),,
polícia,po-lí-ci-a(4),,
ministro,mi-nis-tro(6),,
têm,têm(2),,
campanha,cam-pa-nha(6),,
programa,pro-gra-ma(6),,
pelos,pe-los(1),,
banco,ban-co(5),,
brasileira,bra-si-lei-ra(4),,
brasília,bra-sí-lia(1),,
faz,faz(1),,
time,ti-me(6),,
acordo,a-cor-do(4),,
federal,fe-de-ral(6),,
sul,sul(3),,
estava,es-ta-va(1),,
partir,par-tir(6),,
tudo,tu-do(6),,
me,me(3),,
passado,pas-sa-do(6),,
sempre,sem-pre(6),,
todo,to-do(6),,
após,a-pós(6),,
inflação,in-fla-ção(6),,
especial,es-pe-ci-al(5),,
brasileiro,bra-si-lei-ro(6),,
assim,as-sim(6),,
nem,nem(4),,
política,po-lí-ti-ca(6),,
cr,cr(1),,
técnico,téc-ni-co(4),,
pt,pt(1),,
henrique,hen-ri-que(1),,
seja,se-ja(6),,
vida,vi-da(6),,
meses,me-ses(2),,
cinco,cin-co(6),,
público,pú-bli-co(6),,
exemplo,e-xem-plo(6),,
qualquer,qual-quer(6),,
seleção,se-le-ção(5),,
copa,co-pa(6),,
partido,par-ti-do(6),,
média,mé-di-a(4),,
sendo,sen-do(2),,
sucursal,su-cur-sal(6),,
quer,quer(4),,
número,nú-me-ro(6),,
seria,se-ri-a(2),,
afirma,a-fir-ma(1),,
fez,fez(4),,
projeto,pro-je-to(5),,
dinheiro,di-nhei-ro(5),,
diretor,di-re-tor(5),,
alguns,al-guns(3),,
lei,lei(4),,
forma,for-ma(4),,
esta,es-ta(4),,
janeiro,ja-nei-ro(5),,
teve,te-ve(3),,
pontos,pon-tos(1),,
justiça,jus-ti-ça(5),,
sido,si-do(2),,
lado,la-do(6),,
valor,va-lor(6),,
podem,po-dem(1),,
zona,zo-na(6),,
nada,na-da(6),,
silva,sil-va(6),,
outra,ou-tra(2),,
conta,con-ta(5),,
relação,re-la-ção(6),,
vão,vão(4),,
havia,ha-vi-a(2),,
pouco,pou-co(6),,
mundial,mun-di-al(5),,
sistema,sis-te-ma(6),,
sp,sp(1),,
história,his-tó-ri-a(4),,
nome,no-me(5),,
preço,pre-ço(6),,
num,num(4),,
área,á-re-a(4),,
itamar,i-ta-mar(1),,
serão,se-rão(6),,
aumento,au-men-to(6),,
estados,es-ta-dos(2),,
quase,qua-se(6),,
futebol,fu-te-bol(6),,
último,úl-ti-mo(6),,
fazenda,fa-zen-da(6),,
região,re-gi-ão(6),,
tinha,ti-nha(6),,
outras,ou-tras(1),,
congresso,con-gres-so(5),,
filme,fil-me(6),,
lugar,lu-gar(6),,
central,cen-tral(6),,
qual,qual(4),,
noite,noi-te(6),,
jogadores,jo-ga-do-res(1),,
pesquisa,pes-qui-sa(5),,
produção,pro-du-ção(6),,
vezes,ve-zes(3),,
início,i-ní-ci-o(4),,
poder,po-der(5),,
volta,vol-ta(6),,
setor,se-tor(5),,
tv,tv(1),,
quanto,quan-to(5),,
centro,cen-tro(5),,
julho,ju-lho(5),,
processo,pro-ces-so(6),,
fora,fo-ra(6),,
filho,fi-lho(5),,
luiz,lu-iz(1),,
ficou,fi-cou(1),,
saúde,sa-ú-de(6),,
segunda,se-gun-da(6),,
santos,san-tos(1),,
economia,e-co-no-mi-a(6),,
eleitoral,e-lei-to-ral(6),,
ministério,mi-nis-té-ri-o(4),,
países,pa-í-ses(1),,
dar,dar(5),,
seis,seis(3),,
falta,fal-ta(6),,
livro,li-vro(6),,
todas,to-das(2),,
problema,pro-ble-ma(6),,
deputado,de-pu-ta-do(6),,
meio,mei-o(6),,
psdb,psdb(1),,
última,úl-ti-ma(5),,
vem,vem(2),,
paulista,pau-lis-ta(6),,
fica,fi-ca(1),,
carro,car-ro(6),,
dez,dez(5),,
fim,fim(4),,
agência,a-gên-ci-a(4),,
numa,nu-ma(3),,
problemas,pro-ble-mas(1),,
recursos,re-cur-sos(2),,
bom,bom(5),,
prazo,pra-zo(6),,
decisão,de-ci-são(6),,
tão,tão(4),,
período,pe-rí-o-do(5),,
enquanto,en-quan-to(5),,
frente,fren-te(6),,
mulher,mu-lher(5),,
teria,te-ri-a(2),,
direito,di-rei-to(6),,
fato,fa-to(4),,
próximo,pró-xi-mo(6),,
juros,ju-ros(1),,
norte,nor-te(6),,
então,en-tão(6),,
feito,fei-to(5),,
joão,jo-ão(3),,
anteontem,an-te-on-tem(5),,
minha,mi-nha(5),,
apesar,a-pe-sar(6),,
terá,te-rá(2),,
meu,meu(4),,
maioria,mai-o-ri-a(5),,
alta,al-ta(5),,
tipo,ti-po(4),tipo(1),
total,to-tal(6),,
deste,des-te(6),,
internacional,in-ter-na-ci-o-nal(5),,
apoio,a-poi-o(6),,
mesma,mes-ma(5),,
dá,dá(1),,
momento,mo-men-to(5),,
pelas,pe-las(1),,
aqui,a-qui(6),,
possível,pos-sí-vel(6),,
jogador,jo-ga-dor(6),,
econômica,e-co-nô-mi-ca(1),,
cardoso,car-do-so(1),,
queda,que-da(6),,
venda,ven-da(4),,
defesa,de-fe-sa(6),,
rua,ru-a(5),,
principal,prin-ci-pal(6),,
km,km(2),,
próprio,pró-pri-o(4),,
roberto,ro-ber-to(3),,
internacionais,in-ter-na-ci-o-nais(1),,
feita,fei-ta(6),,
amanhã,a-ma-nhã(6),,
hora,ho-ra(6),,
nunca,nun-ca(5),,
grandes,gran-des(1),,
dentro,den-tro(6),,
câmara,câ-ma-ra(4),,
mostra,mos-tra(6),,
ver,ver(4),,
toda,to-da(5),,
social,so-ci-al(5),,
york,york(1),,
coisa,coi-sa(5),,
ponto,pon-to(6),,
junho,ju-nho(5),,
domingo,do-min-go(6),,
lá,lá(4),,
vitória,vi-tó-ri-a(4),,
resultado,re-sul-ta-do(6),,
capital,ca-pi-tal(6),,
através,a-tra-vés(5),,
boa,bo-a(5),,
nós,nós(4),,
segurança,se-gu-ran-ça(5),,
neste,nes-te(6),,
sob,sob(4),,
causa,cau-sa(6),,
brasileiros,bra-si-lei-ros(1),,
governador,go-ver-na-dor(6),,
jornal,jor-nal(5),,
s,s(1),,
partida,par-ti-da(6),,
novos,no-vos(4),,
morte,mor-te(6),,
ficar,fi-car(5),,
campo,cam-po(6),,
dizer,di-zer(6),,
fase,fa-se(6),,
direção,di-re-ção(5),,
quércia,quér-cia(1),,
ação,a-ção(5),,
agosto,a-gos-to(5),,
família,fa-mí-li-a(3),,
horas,ho-ras(3),,
estar,es-tar(6),,
idéia,i-déi-a(2),,
medida,me-di-da(6),,
houve,hou-ve(2),,
vendas,ven-das(1),,
indústria,in-dús-tri-a(4),,
taxa,ta-xa(5),,
guerra,guer-ra(6),,
maio,mai-o(6),,
tarde,tar-de(6),,
dólar,dó-lar(6),,
bancos,ban-cos(1),,
principais,prin-ci-pais(1),,
atual,a-tu-al(4),,
base,ba-se(6),,
homem,ho-mem(6),,
março,mar-ço(5),,
uso,u-so(6),,
rede,re-de(6),,
algumas,al-gu-mas(1),,
moeda,mo-e-da(4),,
comissão,co-mis-são(6),,
qualidade,qua-li-da-de(6),,
maiores,mai-o-res(1),,
deu,deu(2),,
universidade,u-ni-ver-si-da-de(6),,
tanto,tan-to(6),,
geral,ge-ral(6),,
situação,si-tu-a-ção(5),,
música,mú-si-ca(6),,
abril,a-bril(4),,
maria,ma-ri-a(5),,
dezembro,de-zem-bro(5),,
